CSC,PJW,Preiss,UnsignedCSC
115,5364,11592,6286
116,26847,33983,29578
116,10618,33417,26994
122,10624,33423,27000
117,27333,461,29453
109,7263,10178,16717
122,19642,17403,13159
122,7452,11023,16288
116,13832,20060,2228
107,34228,17374,25692
101,21445,25939,12639
104,17234,2147,21269
116,1670,23298,27586
111,27070,6252,20486
102,1529,3173,2831
101,10532,2122,26013
116,10611,2137,26004
104,5472,6309,20511
111,30373,27160,7722
101,33296,10510,15509
102,32218,2602,16618
116,22366,1269,9392
102,20370,23005,14088
101,14040,26997,31235
116,13927,26982,31258
104,34413,4892,22169
111,34436,4835,22210
116,11982,27639,21584
101,9170,33455,30467
116,9121,33470,30458
117,2915,12807,24701
116,3557,17184,29253
117,14530,34367,30003
116,25102,2092,12492
122,7072,12341,588
104,12118,10389,21059
102,5428,30883,3308
116,1984,24433,10804
105,10295,31910,3825
101,24185,9678,20368
115,24071,9692,20378
116,28592,1533,1699
116,24072,9693,20377
104,29572,17649,31780
117,16789,21752,28309
116,19273,15767,1283
27195,4129,10225,27195
102,29976,18288,32869
101,24764,11457,17583
115,24746,11443,17565
116,7269,9701,4803
104,6969,28414,28228
122,14692,12622,4279
111,6960,28471,28203
116,28105,14126,13930
117,16093,25882,4255
27211,4161,10177,27211
101,32956,33920,1199
104,33554,3228,26375
117,16605,28954,4767
116,16958,21145,33771
122,22753,12522,13474
102,30685,23554,2875
122,30705,23534,2847
122,2900,9915,25676
117,27266,27098,32983
116,3166,8705,25138
101,24120,11799,31093
104,25205,25024,6327
116,4014,20711,12925
117,18772,6188,22557
116,17653,17184,10447
117,28984,24649,23555
111,9612,4835,30647
116,25730,27639,15216
101,3402,12410,9759
111,32713,33779,24986
116,22205,27639,21148
21914,4946,30770,21914
100,29150,34647,9455
117,29101,34632,9472
104,24033,31931,28595
102,11288,7216,4818
101,16285,34075,26203
116,16396,34090,26214
104,14022,27103,21436
111,14013,27160,21411
102,27658,3074,25031
101,28867,26589,32993
116,28754,26604,33016
104,9687,4892,20227
111,9710,4835,20186
116,3800,27639,6142
115,29169,27243,32823
116,15523,29736,27279
116,29819,27984,16398
122,32066,24558,14491
102,561,23362,14215
122,6252,8768,1651
116,17781,11363,6257
101,4896,20381,29030
108,5913,24746,26040
111,11083,25743,11773
116,7613,27639,7936
102,15538,25176,11496
16986,5682,34738,16986
100,6097,24498,25904
118,6047,24484,25922
117,6048,24483,25921
104,3475,9317,24662
122,20827,17956,522
110,8329,25785,3119
101,13314,7708,10016
104,9652,8216,33759
116,23517,18334,30201
30699,26517,12310,30699
7207,6439,21589,7207
99,24219,29862,19520
99,27643,7731,9600
102,9711,11038,28435
7353,6473,21895,7353
26358,34010,8092,26358
26373,34025,8107,26373
102,22676,23963,9757
99,2618,24961,4994
101,18362,19222,28188
117,6277,6188,29893
116,247,17184,25984
115,18344,19236,28170
116,9324,20256,21954
116,18345,19237,28171
104,9024,1543,33358
116,10652,4030,3478
17210,23012,9296,17210
7320,6488,21830,7320
18321,25744,13044,18321
116,6277,25791,28937
127,13921,18517,33214
18139,25814,13386,18139
25381,34265,4075,25381
116,30836,24122,1270
102,2796,32278,13893
101,29579,9379,20108
115,29529,9393,20130
116,23989,11558,18486
116,29530,9394,20129
104,24041,27674,31178
117,4720,5083,12154
116,32437,14811,13692
7449,6553,22087,7449
7417,6569,22279,7417
99,26033,7761,25878
116,9866,17984,21634
27744,1191,29542,27744
12091,19171,6753,12091
100,17802,26179,32989
109,1303,19646,20382
122,9610,3913,24616
111,27145,25341,19323
116,27112,27947,27702
117,16441,6014,28755
102,8226,9935,10564
116,13276,8894,17462
101,18300,5224,2757
104,28235,25024,21393
116,5336,5918,26593
102,10295,32,1747
101,28210,23871,8048
102,25881,16908,12954
116,28225,23886,8059
104,12650,28578,5226
102,27855,30582,3069
99,15760,591,34645
101,19660,22933,19739
116,19643,22948,19722
104,21455,26047,13760
111,32648,4152,17502
116,26508,27639,33774
116,30457,20632,7312
19432,28052,12255,19432
117,15742,449,34471
109,18372,10535,29545
101,18172,10783,29425
115,18250,10797,29403
104,16369,32510,18666
